booking_id,booking_time,status,promo_code,passenger_id,ride_id
1,2024-06-16 22:30:24.585057,Completed,,97,1.0
2,2024-06-11 01:19:24.585057,Cancelled,PROMO1006,71,
3,2024-11-28 03:04:24.585057,Completed,,74,2.0
4,2024-11-11 05:20:24.585057,Completed,,31,3.0
5,2024-10-30 00:12:24.585057,Completed,,138,4.0
6,2024-11-11 20:28:24.585057,Completed,,128,5.0
7,2024-11-21 08:44:24.585057,Cancelled,,150,
8,2024-08-17 03:35:24.585057,Completed,,54,6.0
9,2025-04-04 13:44:24.585057,Completed,PROMO1001,187,7.0
10,2024-06-23 19:35:24.585057,Completed,,172,8.0
11,2024-07-21 08:19:24.585057,Completed,PROMO1012,105,9.0
12,2025-04-05 06:40:24.585057,Completed,,136,10.0
13,2025-02-01 17:41:24.585057,Completed,,187,11.0
14,2024-06-06 08:20:24.585057,Cancelled,PROMO1000,18,
15,2024-10-23 16:37:24.585057,Completed,PROMO1000,145,12.0
16,2024-12-28 05:13:24.585057,Cancelled,,199,
17,2024-10-29 15:43:24.585057,Completed,,192,13.0
18,2024-10-23 04:46:24.585057,Completed,,48,14.0
19,2025-03-28 05:39:24.585057,Completed,PROMO1002,12,15.0
20,2025-01-16 23:12:24.585057,Completed,,13,16.0
21,2024-10-09 20:06:24.585057,Completed,PROMO1004,27,17.0
22,2024-07-15 15:11:24.585057,Cancelled,,69,
23,2024-12-08 11:47:24.585057,Completed,PROMO1006,15,18.0
24,2025-01-11 05:24:24.585057,Cancelled,PROMO1012,80,
25,2024-11-06 04:29:24.585057,Completed,,190,19.0
26,2024-10-26 03:34:24.585057,Completed,PROMO1005,184,20.0
27,2024-08-01 12:37:24.585057,Completed,,158,21.0
28,2025-01-24 12:48:24.585057,Completed,PROMO1001,42,22.0
29,2024-06-11 11:26:24.585057,Completed,PROMO1011,48,23.0
30,2024-06-14 12:43:24.585057,Cancelled,PROMO1004,101,
31,2024-10-21 12:32:24.585057,Cancelled,,16,
32,2024-07-28 22:12:24.585057,Completed,PROMO1002,108,24.0
33,2024-12-29 07:12:24.585057,Completed,PROMO1005,144,25.0
34,2025-01-07 21:00:24.585057,Completed,,5,26.0
35,2025-03-11 05:37:24.585057,Cancelled,,6,
36,2024-11-27 05:49:24.585057,Completed,PROMO1008,81,27.0
37,2024-06-07 06:04:24.585057,Completed,,110,28.0
38,2024-11-02 21:10:24.585057,Completed,,146,29.0
39,2024-05-10 11:38:24.585057,Completed,,113,30.0
40,2025-02-19 19:49:24.585057,Completed,,12,31.0
41,2025-03-01 13:19:24.585057,Completed,,31,32.0
42,2024-11-21 10:01:24.585057,Cancelled,,119,
43,2024-05-31 18:40:24.585057,Cancelled,PROMO1014,6,
44,2024-10-13 09:55:24.585057,Completed,,162,33.0
45,2025-03-16 04:32:24.585057,Completed,,35,34.0
46,2024-06-10 09:55:24.585057,Completed,,131,35.0
47,2024-09-05 08:05:24.585057,Cancelled,,165,
48,2024-09-04 19:19:24.585057,Cancelled,PROMO1002,166,
49,2025-02-24 09:12:24.585057,Completed,PROMO1004,22,36.0
50,2024-04-23 10:30:24.585057,Completed,,169,37.0
51,2024-08-31 20:55:24.585057,Completed,PROMO1001,21,38.0
52,2024-06-28 06:56:24.585057,Completed,,63,39.0
53,2025-01-03 01:23:24.585057,Completed,,71,40.0
54,2024-07-27 17:38:24.585057,Cancelled,,77,
55,2024-05-01 14:25:24.585057,Cancelled,,101,
56,2024-09-15 04:27:24.585057,Completed,,66,41.0
57,2025-04-13 07:31:24.585057,Completed,,54,42.0
58,2024-09-25 07:22:24.585057,Completed,,51,43.0
59,2025-03-02 03:58:24.585057,Completed,,102,44.0
60,2025-03-10 15:04:24.585057,Completed,,70,45.0
61,2024-05-04 01:45:24.585057,Completed,PROMO1006,49,46.0
62,2024-09-06 08:28:24.585057,Completed,,99,47.0
63,2024-07-04 09:06:24.585057,Completed,,34,48.0
64,2024-09-12 09:23:24.585057,Cancelled,PROMO1001,191,
65,2024-07-28 18:55:24.585057,Completed,,44,49.0
66,2024-06-08 13:07:24.585057,Cancelled,,76,
67,2024-10-07 19:49:24.585057,Completed,,138,50.0
68,2024-04-27 09:48:24.585057,Completed,,23,51.0
69,2024-06-14 22:08:24.585057,Completed,,137,52.0
70,2024-12-27 17:56:24.585057,Cancelled,PROMO1012,118,
71,2025-03-28 00:48:24.585057,Completed,,59,53.0
72,2024-12-06 03:15:24.585057,Completed,PROMO1000,3,54.0
73,2024-05-19 14:13:24.585057,Completed,,77,55.0
74,2024-11-22 03:17:24.585057,Completed,,20,56.0
75,2025-01-10 20:53:24.585057,Completed,,51,57.0
76,2025-03-18 22:51:24.585057,Completed,,115,58.0
77,2024-06-28 18:52:24.585057,Completed,,191,59.0
78,2024-08-23 10:57:24.585057,Completed,,188,60.0
79,2025-02-22 21:09:24.585057,Completed,,162,61.0
80,2025-01-31 02:27:24.585057,Completed,,30,62.0
81,2025-01-19 13:11:24.585057,Completed,,27,63.0
82,2025-01-14 08:21:24.585057,Completed,,48,64.0
83,2025-02-28 11:38:24.585057,Completed,PROMO1000,50,65.0
84,2024-11-03 19:53:24.585057,Cancelled,,164,
85,2024-05-12 03:15:24.585057,Cancelled,,32,
86,2025-01-05 01:55:24.585057,Completed,PROMO1014,149,66.0
87,2025-01-27 21:58:24.585057,Completed,,44,67.0
88,2024-10-20 23:10:24.585057,Completed,,154,68.0
89,2024-12-04 19:13:24.585057,Completed,,19,69.0
90,2024-05-16 01:33:24.585057,Completed,,6,70.0
91,2024-07-23 11:03:24.585057,Completed,PROMO1005,182,71.0
