payment_id,ride_id,amount,method,discount_applied,timestamp
1,1,74.01,Cash,4.38,2024-06-16 23:36:24.585057
2,2,84.39,Cash,4.88,2024-11-28 04:01:24.585057
3,3,88.53,Card,0.46,2024-11-11 05:41:24.585057
4,4,70.99,Cash,2.82,2024-10-30 00:40:24.585057
5,5,74.3,Card,1.12,2024-11-11 21:15:24.585057
6,6,52.84,Card,3.38,2024-08-17 04:19:24.585057
7,7,13.75,Cash,0.5,2025-04-04 14:18:24.585057
8,8,75.83,Cash,0.69,2024-06-23 20:43:24.585057
9,9,5.08,Card,0.73,2024-07-21 09:11:24.585057
10,10,21.63,Card,4.65,2025-04-05 07:21:24.585057
11,11,85.72,Cash,3.05,2025-02-01 18:39:24.585057
12,12,10.08,Wallet,1.78,2024-10-23 17:16:24.585057
13,13,19.25,Card,2.92,2024-10-29 16:28:24.585057
14,14,70.85,Card,4.71,2024-10-23 05:07:24.585057
15,15,69.0,Wallet,1.43,2025-03-28 06:07:24.585057
16,16,12.71,Card,0.34,2025-01-16 23:58:24.585057
17,17,6.38,Wallet,4.89,2024-10-09 20:54:24.585057
18,18,46.35,Cash,1.75,2024-12-08 12:28:24.585057
19,19,36.43,Wallet,4.95,2024-11-06 05:19:24.585057
20,20,16.14,Card,0.9,2024-10-26 04:16:24.585057
21,21,8.35,Card,4.05,2024-08-01 13:34:24.585057
22,22,61.81,Cash,1.35,2025-01-24 13:17:24.585057
23,23,32.2,Cash,2.8,2024-06-11 11:50:24.585057
24,24,22.47,Wallet,0.12,2024-07-28 23:21:24.585057
25,25,26.71,Cash,1.76,2024-12-29 07:58:24.585057
26,26,49.56,Cash,2.49,2025-01-07 21:51:24.585057
27,27,92.5,Card,4.21,2024-11-27 06:48:24.585057
28,28,70.71,Card,1.21,2024-06-07 06:37:24.585057
29,29,16.55,Card,1.17,2024-11-02 22:22:24.585057
30,30,29.51,Card,4.52,2024-05-10 12:40:24.585057
31,31,89.68,Card,4.1,2025-02-19 20:40:24.585057
32,32,73.0,Wallet,1.81,2025-03-01 14:06:24.585057
33,33,70.38,Wallet,1.22,2024-10-13 11:05:24.585057
34,34,66.92,Card,3.32,2025-03-16 05:03:24.585057
35,35,25.87,Wallet,0.4,2024-06-10 10:53:24.585057
36,36,95.24,Wallet,0.35,2025-02-24 09:37:24.585057
37,37,88.34,Cash,3.58,2024-04-23 11:00:24.585057
38,38,43.44,Cash,1.79,2024-08-31 21:59:24.585057
39,39,87.05,Card,3.82,2024-06-28 08:12:24.585057
40,40,97.23,Cash,4.98,2025-01-03 02:28:24.585057
41,41,58.56,Card,2.12,2024-09-15 04:57:24.585057
42,42,87.93,Cash,2.3,2025-04-13 08:09:24.585057
43,43,19.39,Cash,0.66,2024-09-25 08:40:24.585057
44,44,56.61,Card,2.56,2025-03-02 04:35:24.585057
45,45,41.34,Card,2.1,2025-03-10 15:43:24.585057
46,46,12.42,Cash,1.56,2024-05-04 02:16:24.585057
47,47,74.31,Wallet,3.92,2024-09-06 09:22:24.585057
48,48,43.93,Card,4.72,2024-07-04 10:02:24.585057
49,49,50.33,Wallet,4.05,2024-07-28 19:38:24.585057
50,50,95.64,Wallet,1.53,2024-10-07 20:49:24.585057
51,51,13.56,Wallet,4.85,2024-04-27 10:26:24.585057
52,52,78.52,Card,2.28,2024-06-14 22:44:24.585057
53,53,72.91,Card,4.52,2025-03-28 01:57:24.585057
54,54,13.55,Card,1.96,2024-12-06 04:35:24.585057
55,55,90.52,Cash,3.85,2024-05-19 14:33:24.585057
56,56,44.42,Cash,0.72,2024-11-22 04:02:24.585057
57,57,49.15,Wallet,3.5,2025-01-10 22:03:24.585057
58,58,85.59,Cash,3.64,2025-03-18 23:53:24.585057
59,59,91.62,Wallet,3.79,2024-06-28 20:10:24.585057
60,60,22.01,Cash,0.6,2024-08-23 12:03:24.585057
61,61,9.28,Wallet,1.16,2025-02-22 22:33:24.585057
62,62,54.47,Card,0.66,2025-01-31 03:24:24.585057
63,63,80.26,Cash,1.73,2025-01-19 14:05:24.585057
64,64,86.56,Cash,4.16,2025-01-14 09:26:24.585057
65,65,52.87,Cash,4.66,2025-02-28 12:32:24.585057
66,66,99.84,Cash,2.2,2025-01-05 03:14:24.585057
67,67,28.54,Card,0.13,2025-01-27 22:47:24.585057
68,68,47.17,Cash,2.01,2024-10-21 00:13:24.585057
69,69,23.04,Cash,1.05,2024-12-04 20:05:24.585057
70,70,98.53,Card,3.87,2024-05-16 02:14:24.585057
71,71,53.51,Card,1.78,2024-07-23 11:43:24.585057
72,72,72.86,Cash,4.13,2024-06-07 18:19:24.585057
73,73,57.46,Card,1.63,2024-12-22 04:19:24.585057
74,74,82.7,Wallet,2.1,2025-02-09 11:55:24.585057
75,75,77.7,Cash,0.69,2025-04-10 15:27:24.585057
76,76,35.89,Cash,1.48,2024-10-19 21:13:24.585057
77,77,75.84,Wallet,4.53,2024-10-16 15:39:24.585057
78,78,89.94,Card,0.83,2024-12-10 15:54:24.585057
